,text
0,I am finding myself a new computer that is sturdy with great body colour.
1,"I am buying a new laptop but I also want to do gaming on it, so it should run all games well."
2,I edit photos for a living and that's why the graphics must be great on my computer.
3,I won't depend too much on this laptop so I just need it to have a high performance-cost ratio.
4,I can get a cheap computer and upgrade it later on.
5,My step son wants a computer with not much bloatware.
6,I am willing to do some research for a good computer and currently I am finding one that play games with good frame rate.
7,I am looking for a computer that play games well with a reasonable price.
8,I want to change my old laptop and something cool that handle most games would be perfect.
9,"I need a computer come up with the 2018 standard in sound output, keyboard and trackpad."
10,"I am changing my old computer and I want the new to be quick, responsive and economical."
11,I play games on laptop and I need it to be fast.
12,"I got tired of using the old computer from office so I need a new, fast computer."
13,"My old computer is not working and I need a light, new computer with a good screen."
14,I would use the laptop for my graphic design classes so I want it to be lightweight and sturdy for me to bring it to class.
15,I am finding a all-rounded computer that is sturdy and has great design.
16,I am changing from desktop to laptop and I want one that bootup fast with a quiet fan.
17,I do a couple of tasks on my laptop si I want it to run games well with a reasonable price.
18,"I normally connect my laptop to my tv for gaming and I hope the new laptop do great in that, without being overheated."
19,The bootup should be fast on my computer.
20,I tend to use my next computer for a long time so the graphics ought to be beautiful.
21,I have never had a laptop before and so I am finding one that can run games with an amazing battery life.
22,My past laptop just died a few days ago and I am in urgent for a computer that is well balanced for the price.
23,"For the specs, I specifically need a near-full-size keyboard and a non-glossy screen."
24,I am taking the laptop to school and I want it to have a good selection of ports for my use.
25,I am looking for a quiet computer with a good price.
26,"As a college student, I need a great computer with an amazing price."
27,My last computer was still working but I decided to go for a faster computer which is reasonably priced.
28,I am in need of a new computer and it should work fantasticly for games.
29,A good sound output is necessary.
30,Speed is the aspect I look into when purchasing a new computer.
31,I would look carefully with all the specs that come with the computer and I want it to boot up fast with a great price.
32,I am finding a sturdy computer with a nice keyboard.
33,"My dream computer would the one with marvellous design, pleasing audio system and amazing specs."
34,I have a few points to note for a perfect laptop.
35,I need a new computer for myself that feel nice and run games well.
36,I am into coding and I need a new computer with plenty of RAM and amazing build quality.
37,I am changing my old laptop and I want a fast one that is well designed and great for gaming.
38,I am finding a solid computer with a lighted charger.
39,I need a new computer for myself that is solidly built and has lots of features.
40,My son wants a computer that has cool colours on keyboard.
41,I am looking for a computer that will fit my budget.
42,I sometimes have long meetings so a computer with long battery life is a must.
43,My gaming niece wants some right specs for his computer.
44,I am in college and I need a sturdy and solid computer that comes with a high response rate.
45,I don't really have huge budget and all I want is an affordable computer that can play games well.
46,I need a computer within my budget.
47,I'm an IT student and I need a computer that looks cool.
48,I need a powerful laptop to bring to class so it should be small but with a big screen for multitasking.
49,I am finding the best computer with the best price.
50,A fast computer with a reasonable price is what I need.
51,I won't pay too much money for a good computer.
52,I am finding a computer with great price.
53,I need to change my old laptop and I need one that run quietly and cool.
54,Speed is important for my computer.
55,I play games on laptop and I am finding a professional computer for that.
56,I am just a student so I need a computer with low price.
57,I used to use PCs but now I want a laptop with good hardware.
58,I would be happy to receive a quality computer with my money paid.
59,A fast computer that is cheap and easy to use would be my ideal computer.
60,I tend to look at other's reviews before purchasing a computer and I want one that play games well and quietly.
61,I need a new computer to support my work that is solidly built with low cost.
62,I am replacing my old computer which I want a new one that has cool design and beautiful display.
63,"Once I find a computer that fits my needs, I am willing to spend the appropiate amount of money."
64,I am finding myself a perfect gaming laptop.
65,I don't want my old computer anymore and I am finding a new one that boots fast.
66,"I do create art in Photoshop, and as a result I need a computer that can handle large files perfectly."
67,I don't want the new computer to constantly lag as my previous computer.
68,I am planning to find a new laptop that has a good processor and build well.
69,I know a lot of things about computer and I am now finding a economical computer for myself.
70,I do a lot of gaming and I am in need of a new computer that perform well in that aspect.
71,I am finding myself a nice computer which is fast and nicely designed.
72,I need a new computer that comes with a good price.
73,I am lacking money currently but I need a computer with nice price.
74,I don't have much criteria for my new computer.
75,I wish I would be happy with the money I spent for a perfect computer.
76,My old computer needs replacement and I hope the new one comes with great specs and run smoothly.
77,I am buying a computer as Christmas present for my son and he specifies that it has to be great for games.
78,I cannot put a thick laptop into my bag.
79,I am finding myself a new computer that has a fast refresh rate and good video card.
80,My old computer doesn't work for me anymore and I need a sleek one which has good battery life and runs games perfectly.
81,I am looking for a powerful workstation with a high performance-cost ratio.
82,I am looking for strong gaming laptop and it should be able to handle demanding games with a good build quality.
83,My old computer is too slow so I need a new one.
84,I like to stick to one brand while purchasing computer and this time I want one with unique look.
85,I like having computers having high performance-cost ratio.
86,My wife need a computer to do her college work and she needs it to bootup fast and play games well.
87,I am going through a replacement of my old computer and I want the new one to come with good specs and great display colour.
88,I want the computer to come with a high performance-cost ratio.
89,I need a new computer with high performance-cost ratio immediately because my old one is not working.
90,I am a software engineer and I need a fast computer with nice graphics.
91,I have used my old computer for over 10 years and now I need a nice looking computer.
92,I need to have a decent computer with a decent price.
93,What I expect is a good computer with a high performance-cost ratio.
94,My old computer has broken down and I am finding a new one that is easily upgradable with a high performance-cost ratio.
95,Now I'm in college and I need a quiet computer to work with.
96,I am changing my old computer to a more classy-looking one.
97,I need a computer with excellent expandability.
98,My old computer needs a replacement and the new one should be easy to set up while running cool.
99,"As a responsible student, I am finding a big and full sized laptop to bring to college."
100,I am finding myself a new computer without a ton of bloatware.
101,I am looking for a computer with an excellent sound output.
102,My family is going to have a new laptop and we are looking for a fast one with great graphics.
103,I am finding a budget gaming laptop that a responsive and nicely backlit keyboard is a must.
104,I am an engineering student and am finding myself a fast computer with superb specs.
105,I am looking for myself a work station but can run lots of games with a good price.
106,I need a computer with good specs.
107,I took hours to do my paper so the computer should have impressive battery life.
108,I am a college student so I need a cheap computer which can last long for battery life.
109,I do literally everything on my laptop so I hope it to be easily upgradable and have a reasonable price.
110,I look into various factors while buying my new computer.
111,I need a computer that works good for working and gaming without a high price.
112,I do virtualisation on my computer so I need a responsive laptop.
113,I enjoy playing games on my laptop so I hope the laptop do magnificent job of graphics and gameplay.
114,I do a lot of typing work so I hope the surface would be comfortable to rest my hands on.
115,"My old computer has stopped working so I need a new computer with good internal specs, also, it should be fast and have amazing battery life."
116,I am trying to find a gaming laptop that goes really fast.
117,I have used my old computer for a long time and I am planning to replace it with a new one that has a much faster processing speed.
118,I want to play games on my new computer so it should response quickly.
119,My old computer can't really play games so I want a new one that can play games at high settings.
120,I would use the computer for gaming and home schooling so I hope it's well built with a reasonable price.
121,I got to use a lot of graphics and processing-heavy programmes so I hope the computer has no issues with them.
122,I like playing games so I hope the new computer can play games at high settings effortlessly.
123,I don't really have much money but I wish to have a computer that can run games on ultra graphic settings.
124,"My old computer doesn't work anymore so I need a new computer with cool graphics, CPU, RAM and ports."
125,I need a computer with a high-performance-cost ratio.
126,I am new to gaming laptop and I want one that run flawlessly for games.
127,I use the computer for my personal use and I hope it won't heat up if overused.
128,I have done some research on my new computer and I want a really fast one.
129,I produce music so I hope the new computer works great for the software with a reasonable price.
130,I don't require much for my new computer but speed is important.
131,I need a good laptop with reasonable price.
132,I checked many computers on Amazon and I want to find one with high performance-cost ratio.
133,I want to find a fast computer for my cousin.
134,I am finding some recommendations for a new computer that is fast and have both nice cooling system and battery life.
135,I need a new computer that my video games can function well on it.
136,I would use the computer for light gaming so I hope the computer would play games well.
137,I don't have much money so good price is important for a new computer.
138,I look into graphics so I need a computer that can handle heavy graphics.
139,I care about the feel so the computer should be solid enough.
140,I do multitasking so I need a good system to come with the laptop.
141,A computer that runs games well with a low cost is what I needed.
142,I like gaming so I need a laptop that run games well.
143,"Everyday I need to use my laptop so I need a big screen and a great keyboard to make it comfortable, of course, it should be fast also."
144,I expect my new computer will be fast and reasonably priced.
145,"For my gaming laptop, I want it to have a beautiful design."
146,I need a really fast computer.
147,I cannot spend too much on the computer so I need one with a reasonable price.
148,I play a number of games so I want the computer to run games well.
149,I want to spend as less as possible on my new laptop.
150,A nice looking computer would be suitable for me.
151,I need a computer with a reasonable price.
152,I would use the new computer with my wife so I want it to look sleek and have a good speaker.
153,I need a computer that is good for multitasking.
154,I don't want to annoy others so I need a quiet computer.
155,I need a new gaming laptop with some good build quality.
156,I need a engineering work station so the computer should be fast.
157,I need a computer to handle my school work so it should run fast.
158,I don't play many games but I still hope the computer would play games well.
159,I need some good price for my computer as I am lacking money.
160,I am a student so I need a computer that come with the perfect size and run games well.
161,I want an amazing touch pad for my computer.
162,I need a fast computer with a low budget.
163,I know something about computer and all I want is a good-looking computer that play games well.
164,I hope the computer will fit with my budget.
165,Specs are what I look into when buying a new computer so the keyboard and trackpad must be decent.
166,Photo editing is my job so I would need a computer that have good screen resolution.
167,I need a computer with a reasonable price.
168,I enjoy playing games and I would like the games to display well with good speaker and good graphic performance.
169,I am finding for a new gaming laptop.
170,I am trying to find a new gaming laptop that plays my games fast and quietly.
171,I enjoy playing games on my laptop so I need a new one that have good specs with a reasonable price.
172,I pay attention to gaming experience so I need a new laptop with amazing gaming performance.
173,I am buying my first laptop and I have thought of some requirement for it.
174,I am considering to change my old computer and what I need is a computer with a high performance-cost ratio and long battery life.
175,I am looking for a computer that will boot fast and play games with ease.
176,I want to find a laptop that can play games with my friends so I need it to have great performance for gaming and be cheap.
177,"As a college student, I am finding a sturdy computer with a nice revolving camera."
178,I need a computer for my work and I want it to be light and easy to carry for my meetings.
179,One of my flight attendent mentioned she wanted a light computer.
180,I am planning to buy a computer as a present and all she wanted is a computer that is lightweight and has a long battery life.
181,I need a computer with great performance and cost.
182,I travel a lot so I would like to have a sturdy and handy laptop.
183,I am replacing my old laptop for a better-sized laptop.
184,I need a perfect laptop for my office work in which it should be small and handy.
185,My husband has to go for business trip so he needs a laptop with perfect size.
186,I want to have the best laptop with the least money.
187,I am finding a new computer that has a high performance-cost ratio.
188,I don't have an unlimited budget so I want a computer with a large screen and a fast processor.
189,My budget is limited and I need a computer with a great price.
190,I want to have a new computer that comes with the highest performance-cost ratio.
191,My regular computer needs repairment so I am finding a new one with nice display in a low cost.
192,I enjoy surfing the internet with no cords needed in a good price.
193,The only requirement I have for my computer is it has to be easy to use.
194,"I need everything to be easy on my computer, including setup and usage."
195,I am getting a new computer with impressing specs to play games well.
196,My old computer is not working and I need a fast and well built one.
197,I have been doing a lot of research on computers and I have been longing for a computer that is light and fast.
198,I need a nice computer for my work and it should come with awesome specs with a great price.
199,My work requires for a better computer that comes with a sturdy keyboard with useful backlighting.
200,"As a fairly active gamer, I need a computer that is solid and bootup fast."
201,I am planning to replace my old computer and I need the new one to run games fabulously.
202,I am finding a computer to do a couple of gaming so it should run games smoothly with amazing graphics.
203,I work in IT for a living and I am buying myself a economical computer that does not have a reflective screen.
204,I am looking for a new economical computer for myself and it should bootup fast and have a beautiful display.
205,I want to find a computer with high performance-cost ratio that would be perfect to use in trips.
206,I am a console gamer but now I am finding a gaming laptop that has amazing speed and awesome graphics.
207,I need some great specs for my computer.
208,Our business need a computer that comes with a high performance-cost ratio.
209,I plan to do some laptop gaming so it should play games well and fast.
210,A computer with a high performance-cost ratio is what I need.
211,I am finding a replacement for a higher performance-cost ratio.
212,I need a fast computer.
213,I play games so I need a laptop to perform well in those.
214,My old computer doesn't perform games well so I need a new one.
215,I am a video editor and I need a good looking computer.
216,I want a computer that run games without issues.
217,I want a computer that is thinner than my previous computer.
218,I need the best use of my money on a good computer.
219,I need a fast computer.
220,I want a powerful computer to come with a low price.
221,I need a computer that comes with a slim profile DVD burner.
222,I am going back to college later and so I need a laptop with a huge screen and a number pad on the keyboard.
223,Price is what I look into when purchasing a new computer.
224,I want to have the best use of the money I would spend on the computer.
225,I have limited budget so the computer should come with a good price.
226,A fast computer with a good price is what I want.
227,My brother needs a fast computer as his Christmas present.
228,I want a computer that do super fast startup and have a good processor.
229,I need a light computer which can turn on fast and run cool.
230,I want a computer with high performance-cost ratio.
231,I need the computer to boot up fast.
232,I need a computer with a reasonable price.
233,I want a light computer which can runs fast.
234,I need a fast laptop with good configuration.
235,"The computer should boot up and connect to the Wifi in a super fast way, but I don't want the price to be too high and the diplay should be great also."
236,I need a computer with a nice and sleek look and large space for my programmes.
237,I need a few criteria for my new computer.
238,I need a computer with cool extra hard drive that is fast and clear.
239,I want a quick laptop with amazing display.
240,I need a computer with a high performance-cost ratio and a large memory.
241,I need a light computer that runs fast.
242,"I want the computer to stay within a reasonable price range, having a sensible fingerprint sensor and large amount of storage."
243,I want a fast and light computer.
244,I need a computer which is fast and light.
245,The computer should be light for me to carry it around.
246,I love computer with great design.
247,I want the computer to be light enough for me to carry it around.
248,I need the screen to be great enough but not affecting the weight.
249,I want a fast computer with a nice fingerprint scanner to accelerate.
250,I need a computer that is light and start up fast.
251,I need a light computer.
252,The computer should have a light but large enough screen accomplished with speed.
253,The computer should be light.
254,I need a computer which can be opened as soon as possible and have strong wireless connection.
255,I need a fast computer in both typing responsiveness and log in time.
256,I want a quick computer with reasonable price.
257,I need a computer with great screen.
258,I need a good looking computer which stays within my budget.
259,"The computer should be slim, light and looking good."
260,The screen and touch pad should be great for my computer.
261,I need a quick and responsive computer.
262,I need a thin computer with an appealing design and a light weight.
263,I need a fast computer.
264,I need a well-built computer which is light and sleek so I can carry it around.
265,I want a computer that bring up my application quickly and I can work on a large screen with sharp imaging.
266,I need the screen to be nice and big while maintaining a light weight.
267,I need to have plenty of ports on the computer.
268,I want a light computer with a backlit keyboard and a clear bright screen.
269,I need a eye-catching display and a satisfying backlit keyboard for the computer.
270,I need a fast computer.
271,I want to have a new computer that is easy to setup.
272,"I am finding a replacement computer and it should be fast, light and easy to use."
273,My old computer needs replacement and I need a new one with a good screen size and tight and responsive keys.
274,I am looking for a high quality computer with a great price.
275,The computer I want should handle all my needs with a good price.
276,I expect to see some good pictures on the screen.
277,My old computer died so I need a new one immdiately with good picture and sound in a right price.
278,I am purchasing a new computer mainly for gaming so it should play games smoothly and have a gorgeous screen.
279,I am new to gaming laptop and I want some really good red back-lit keys because that looks cool.
280,I cannot play certain games with my friend on my old computer so I need a new laptop that play games well and stay in a good price.
281,I am planning to buy a new computer and I want it to play games well without a high price.
282,The old computer is not satisfying so I want to find a new computer that comes with great value.
283,I need a new computer to go to work so it should be fast and sturdy.
284,I want to have a new gaming laptop and I want a nice display to come with it.
285,Speed is the particular area I look into when purchasing a new computer.
286,I have got some expectations on my new computer as I need an amazing monitor and a good keyboard.
287,I am finding a fantastic bargain for my gaming computer.
288,I need some recommendations for an awesome gaming laptop.
289,I don't want an overheated computer so the cooling system should be quiet and efficient.
290,My dream gaming laptop is the one that runs games well.
291,I would have no complaints as long as the new computer would start up in seconds.
292,I need a present for my husband and I hope it can with a reasonable price.
293,I enjoy playing games and I want a new laptop that is good for gaming with a great price.
294,I am finding a new laptop for gaming and a short boot up time is expected.
295,I am buying a new gaming laptop for my husband and I want a red backlit keyboard so it would be warm and comfortable to his eyes.
296,I don't have a huge budget for my new computer so it should come with a good price.
297,A well-priced computer would be perfect for me.
298,I like to have good design on my new computer and it should own a reasonable price.
299,I am into gaming and I am finding a new computer that is fast and own a gorgeous screen.
300,I have a number of games that I would like to try on my new laptop so it should have a large storage that is great for gaming.
301,I want to play games well on a fast computer.
302,I did a lot of research on my new computer and my wish is to have a fast computer that play games well.
303,Speed is what I look into when purchasing a new computer.
304,I would do a lot of checks to make sure I buy the fastest computer with the best price.
305,I am finding a work only computer that is fast and has plenty of memory.
306,I need a business flagship with a great price.
307,I need a computer that has solid performance with reasonable price.
308,I don't enjoy waiting so I need a computer that startup and shutdown fast.
309,My old computer is too slow and heavy so I want a completely different one.
310,I hope I can afford a fast computer.
311,My son needs a computer with a good screen size for his animation classes.
312,I am finding a new computer for myself that has responsive keys and a beautiful screen.
313,I need a computer with a good hardware.
314,My friend askes me to buy her a lightweight computer.
315,I need a fast computer to do basic home stuff.
316,My wife says she needs a computer that is easy to use and works well with Wifi.
317,I want the new computer to come with a cool touch screen.
318,The money I paid should be exchanged for the best computer.
319,I need a state-of-the-art laptop that comes with a low price.
320,All I need is a computer with a long battery life and a great touch screen.
321,I need a recommendation of a handy and light computer for my sister.
322,My family and I need a fast computer with a high performance-cost ratio.
323,I don't have a huge budget so I need a computer with a good price.
324,My next semester is coming and I am finding a new computer to cope with the work.
325,I am a student and I want a computer that has a powerful quad core and sturdy construction.
326,I pay attention to my gaming experience but I also want a low price for a good computer.
327,It would be enjoyable to have a computer that is speedy with an amazing sound system.
328,I go on a lot of business travell so what I need is a computer that is light and doesn't take up much space.
329,I don’t want my computer to slow down so a no is for those bloatware.
330,I use CAD programmes so I am finding a computer that run those programmes well.
331,I dislike bloatware so it's better to be none of them.
332,I want a replacement for my old computer and I need a new one that comes with amazing build quality.
333,"I would just use the computer for some light use so all I need is fast, cheap and good graphics."
334,I don't have much requirements for a new computer but I need it to run fast and setup easily.
335,I am finding a new computer for myself and I want it to boot up fast and handle several games well.
336,I work at home so it's important for me to have a computer that is fast and priced well.
337,I do a lot of professional tasks so I need a computer that run tons of programmes well with a fair price.
338,I can't use my old computer anymore and I need a new one that is fast and reasonably priced.
339,I am looking for a different brand from my current computer which would be fast and well priced.
340,I am finding a fast computer.
341,I hope my money is well spent on a high quality computer.
342,I am going to buy a new computer and I want it to have decent graphics and storage.
343,I am searching a good computer for school work and I think a computer with great graphic card and plenty of storage would be perfect.
344,I need a computer that comes with a high performance-cost ratio.
345,I am purchasing a new computer and I want it to have good hinges because I broke those of my last computer.
346,I like playing games so games should be able to run fast on the new computer.
347,I am leaving my old computer for my family and finding myself a new computer that run games well.
348,My wife needs a new computer and I am planning to gift her one that have nicely arranged keyboard and low cost.
349,My wife wants to play more demanding games so she needs a computer that handles games well and quick.
350,My husband wants a faster computer that his current one.
351,I like taking my laptop around so I like it to be light and good looking.
352,I do play some kinds of games and I need a new computer that work the games perfectly.
